Time	Duty
7.03E-01	44%
7.04E-01	42%
7.05E-01	40%
7.06E-01	40%
7.07E-01	40%
7.08E-01	45%
7.09E-01	47%
7.10E-01	48%
7.11E-01	49%
7.12E-01	47%
7.13E-01	44%
7.14E-01	40%
7.15E-01	40%
7.16E-01	40%
7.17E-01	41%
7.18E-01	46%
7.19E-01	47%
7.20E-01	48%
7.21E-01	48%
7.22E-01	47%
7.23E-01	43%
7.24E-01	40%
7.25E-01	40%
7.26E-01	40%
7.27E-01	42%
7.28E-01	45%
7.29E-01	48%
7.30E-01	48%
7.31E-01	48%
7.32E-01	48%
7.33E-01	45%
7.34E-01	40%
7.35E-01	40%
7.36E-01	40%
7.37E-01	41%
7.38E-01	45%
7.39E-01	47%
7.40E-01	47%
7.41E-01	48%
7.42E-01	47%
7.43E-01	44%
7.44E-01	41%
7.45E-01	41%
7.46E-01	41%
7.47E-01	42%
7.48E-01	43%
7.49E-01	46%
7.50E-01	47%
7.51E-01	49%
7.52E-01	48%
7.53E-01	46%
7.54E-01	41%
7.55E-01	41%
7.56E-01	40%
7.57E-01	40%
7.58E-01	45%
7.59E-01	46%
7.60E-01	48%
7.61E-01	49%
7.62E-01	48%
7.63E-01	44%
7.64E-01	40%
7.65E-01	40%
7.66E-01	40%
7.67E-01	40%
7.68E-01	45%
7.69E-01	47%
7.70E-01	48%
7.71E-01	48%
7.72E-01	46%
7.73E-01	43%
7.74E-01	40%
7.75E-01	40%
7.76E-01	40%
7.77E-01	42%
7.78E-01	46%
7.79E-01	47%
7.80E-01	48%
7.81E-01	48%
7.82E-01	47%
7.83E-01	44%
7.84E-01	40%
7.85E-01	40%
7.86E-01	40%
7.87E-01	41%
7.88E-01	45%
7.89E-01	47%
7.90E-01	48%
7.91E-01	48%
7.92E-01	47%
7.93E-01	45%
7.94E-01	40%
7.95E-01	40%
7.96E-01	40%
7.97E-01	42%
7.98E-01	45%
7.99E-01	47%
8.00E-01	47%
8.01E-01	48%
8.02E-01	47%
8.03E-01	44%
8.04E-01	41%
8.05E-01	40%
8.06E-01	41%
8.07E-01	42%
8.08E-01	45%
8.09E-01	47%
8.10E-01	48%
8.11E-01	48%
8.12E-01	47%
8.13E-01	44%
8.14E-01	41%
8.15E-01	40%
8.16E-01	40%
8.17E-01	41%
8.18E-01	44%
8.19E-01	47%
8.20E-01	48%
8.21E-01	49%
8.22E-01	47%
8.23E-01	42%
8.24E-01	40%
8.25E-01	40%
8.26E-01	41%
8.27E-01	42%
8.28E-01	45%
8.29E-01	48%
8.30E-01	48%
8.31E-01	48%
8.32E-01	45%
8.33E-01	42%
8.34E-01	41%
8.35E-01	40%
8.36E-01	40%
8.37E-01	43%
8.38E-01	46%
8.39E-01	47%
8.40E-01	48%
8.41E-01	48%
8.42E-01	47%
8.43E-01	44%
8.44E-01	40%
8.45E-01	40%
8.46E-01	40%
8.47E-01	42%
8.48E-01	46%
8.49E-01	46%
8.50E-01	47%
8.51E-01	48%
8.52E-01	47%
8.53E-01	43%
8.54E-01	40%
8.55E-01	41%
8.56E-01	40%
8.57E-01	44%
8.58E-01	45%
8.59E-01	48%
8.60E-01	48%
8.61E-01	48%
8.62E-01	47%
